Study,Intervention,Year,Suicides,AvgPerStation,AvgPer50
Beautrais,Post,1990.5,2,,
Beautrais,Post,1992.5,1,,
Beautrais,Post,1994.5,2,,
Beautrais,Pre,1997.5,7,,
Beautrais,Pre,1999.5,8,,
Beautrais,Pre,2001.5,4,,
Beautrais,Post,2003.5,0,,
Beautrais,Post,2005.5,0,,
Isaac & Bennett,Pre,1965,3,,
Isaac & Bennett,Pre,1966,6,,
Isaac & Bennett,Pre,1967,1,,
Isaac & Bennett,Pre,1968,5,,
Isaac & Bennett,Pre,1969,4,,
Isaac & Bennett,Pre,1970,4,,
Isaac & Bennett,Pre,1971,9,,
Isaac & Bennett,Pre,1972,5,,
Isaac & Bennett,Pre,1973,8,,
Isaac & Bennett,Pre,1974,9,,
Isaac & Bennett,Pre,1975,15,,
Isaac & Bennett,Pre,1976,9,,
Isaac & Bennett,Pre,1977,12,,
Isaac & Bennett,Pre,1978,11,,
Isaac & Bennett,Pre,1979,14,,
Isaac & Bennett,Post,2001,0,,
Law,Pre,1991.5,22,,
Law,Post,1995.5,11,,
Law,Post,1999.5,1,,
Law,Post,2003.5,3,,
Law,Post,2007.5,1,,
Law,Post,2011.5,0,,
Lockley,Pre,2001,7,,
Lockley,Pre,2002,8,,
Lockley,Pre,2003,4,,
Lockley,Pre,2004,2,,
Lockley,Pre,2005,3,,
Lockley,Pre,2006,11,,
Lockley,Pre,2007,11,,
Lockley,Pre,2008,5,,
Lockley,Post,2009,7,,
Lockley,Post,2010,13,,
Lockley,Post,2011,11,,
O’Carroll (Ellington Bridge),Pre,1979,7,,
O’Carroll (Ellington Bridge),Pre,1980,4,,
O’Carroll (Ellington Bridge),Pre,1981,1,,
O’Carroll (Ellington Bridge),Pre,1982,1,,
O’Carroll (Ellington Bridge),Pre,1983,0,,
O’Carroll (Ellington Bridge),Pre,1984,5,,
O’Carroll (Ellington Bridge),Pre,1985,6,,
O’Carroll (Ellington Bridge),Post,1986,1,,
O’Carroll (Ellington Bridge),Post,1987,0,,
O’Carroll (Ellington Bridge),Post,1988,0,,
O’Carroll (Ellington Bridge),Post,1989,0,,
O’Carroll (Ellington Bridge),Post,1990,0,,
O’Carroll (Taft Bridge),Pre,1979,2,,
O’Carroll (Taft Bridge),Pre,1980,6,,
O’Carroll (Taft Bridge),Pre,1981,0,,
O’Carroll (Taft Bridge),Pre,1982,3,,
O’Carroll (Taft Bridge),Pre,1983,0,,
O’Carroll (Taft Bridge),Pre,1984,0,,
O’Carroll (Taft Bridge),Post,1985,1,,
O’Carroll (Taft Bridge),Post,1986,0,,
O’Carroll (Taft Bridge),Post,1986,3,,
O’Carroll (Taft Bridge),Post,1987,2,,
O’Carroll (Taft Bridge),Post,1988,2,,
Blaustein & Fleming,Pre,1995,34,,
Blaustein & Fleming,Pre,1996,16,,
Blaustein & Fleming,Pre,1997,28,,
Blaustein & Fleming,Pre,1998,22,,
Blaustein & Fleming,Pre,1999,18,,
Blaustein & Fleming,Pre,2000,11,,
Blaustein & Fleming,Post,2001,13,,
Blaustein & Fleming,Post,2002,19,,
Blaustein & Fleming,Post,2003,19,,
Blaustein & Fleming,Post,2004,20,,
Blaustein & Fleming,Post,2005,25,,
Blaustein & Fleming,Post,2006,26,,
Blaustein & Fleming,Post,2007,35,,
Blaustein & Fleming,Post,2008,34,,
Reisch,Pre,1988,13,,
Reisch,Pre,1989,15,,
Reisch,Pre,1990,18,,
Reisch,Pre,1991,14,,
Reisch,Pre,1992,10,,
Reisch,Pre,1993,18,,
Reisch,Pre,1994,10,,
Reisch,Pre,1995,6,,
Reisch,Pre,1996,11,,
Reisch,Pre,1997,12,,
Reisch,Pre,1998,16,,
Reisch,Post,1999,10,,
Reisch,Post,2000,8,,
Reisch,Post,2001,11,,
Reisch,Post,2002,15,,
Law & Yip,Pre,1997,10,0.233333333,9.615384615
Law & Yip,Pre,1998,11,0.266666667,10.57692308
Law & Yip,Pre,1999,12,0.333333333,11.53846154
Law & Yip,Pre,2000,7,0.233333333,6.730769231
Law & Yip,Pre,2001,11,0.2,10.57692308
Law & Yip,Pre,2002,3,0.1,2.884615385
Law & Yip,Post,2003,3,0.066666667,2.884615385
Law & Yip,Post,2004,7,0.1,6.730769231
Law & Yip,Post,2005,5,0.033333333,4.807692308
Law & Yip,Post,2006,3,0,2.884615385
Law & Yip,Post,2007,4,0.033333333,3.846153846
Chung,Pre,2003,21,0.173553719,8.67768595
Chung,Pre,2004,20,0.165289256,8.2644628
Chung,Pre,2005,18,0.148760331,7.43801655
Chung,Pre,2006,18,0.148760331,7.43801655
Chung,Pre,2007,24,0.198347107,9.91735535
Chung,Pre,2008,19,0.157024793,7.85123965
Chung,Pre,2009,14,0.115702479,5.78512395
Chung,Post,2010,0,0,0
Chung,Post,2011,1,0.008264463,0.41322315
Chung,Post,2012,0,0,0
Ueda,Pre,2004,19,0.113095238,5.6547619
Ueda,Pre,2005,14,0.083333333,4.16666665
Ueda,Pre,2006,13,0.077380952,3.8690476
Ueda,Pre,2007,23,0.136904762,6.8452381
Ueda,Post,2008,16,0.095238095,4.76190475
Ueda,Post,2009,14,0.083333333,4.16666665
Ueda,Post,2010,15,0.089285714,4.4642857
Ueda,Post,2011,14,0.083333333,4.16666665
Ueda,Post,2012,6,0.035714286,1.7857143
Ueda,Post,2013,10,0.05952381,2.9761905
Matsubayashi,Pre,2000,9,0.126760563,6.33802815
Matsubayashi,Pre,2001,8,0.112676056,5.6338028
Matsubayashi,Pre,2002,10,0.14084507,7.0422535
Matsubayashi,Pre,2003,12,0.169014085,8.45070425
Matsubayashi,Pre,2004,16,0.225352113,11.26760565
Matsubayashi,Pre,2005,14,0.197183099,9.85915495
Matsubayashi,Pre,2006,15,0.211267606,10.5633803
Matsubayashi,Pre,2007,18,0.253521127,12.67605635
Matsubayashi,Pre,2008,11,0.154929577,7.74647885
Matsubayashi,Pre,2009,9,0.126760563,6.33802815
Matsubayashi,Post,2010,6,0.084507042,4.2253521
Ichikawa,Pre,2002,8,0.112676056,5.6338028
Ichikawa,Pre,2003,8,0.112676056,5.6338028
Ichikawa,Pre,2004,5,0.070422535,3.52112675
Ichikawa,Pre,2005,9,0.126760563,6.33802815
Ichikawa,Pre,2006,12,0.169014085,8.45070425
Ichikawa,Pre,2007,18,0.253521127,12.67605635
Ichikawa,Pre,2008,19,0.267605634,13.3802817
Ichikawa,Post,2009,17,0.23943662,11.971831
Ichikawa,Post,2010,19,0.267605634,13.3802817
Ichikawa,Post,2011,17,0.23943662,11.971831
